Name, period, p_err, B, V, binary flag
HAT260-0001319	1.32333028	0.00001148	11.85	11.10
HAT260-0007450	9.40730124	0.00005961	15.73	14.34
HAT260-0006413	2.42404424	0.00023837	15.60	14.21
HAT260-0008669	6.80003423	0.00325241	16.03	14.61
HAT260-0009207	0.74258042	0.00000634	16.25	14.77
HAT260-0007836	5.45227970	0.00103323	15.42	14.02
HAT260-0002411	7.50251710	0.00005975	13.35	12.25
HAT260-0002227	0.86705307	0.00005244	12.75	11.83
HAT260-0000758	2.32175082	0.00016809	10.86	10.25	SB2,Q98
HAT260-0004985	7.96319798	0.00325339	14.48	13.29
HAT260-0002776	6.41558000	0.00009040	13.30	12.32
HAT260-0002199	0.52353205	0.00000236	13.18	12.18
HAT260-0006135	5.05740707	0.00041599	15.48	14.09
HAT260-0000924	2.99605468	0.00012494	11.12	10.48
HAT260-0016375	3.72051053	0.00020520	17.77	16.24
HAT260-0010752	8.21542597	0.00213453	16.63	15.10
HAT260-0002170	6.15460725	0.00077311	12.62	11.74
HAT260-0001846	5.97239848	0.00042761	12.28	11.45
HAT260-0008474	0.30214830	0.00000086	15.92	14.56
HAT260-0003381	2.45352586	0.00017299	17.03	15.35
HAT260-0002705	7.62860983	0.00233231	13.33	12.33
HAT260-0005609	0.38878140	0.00000082	14.71	13.52
HAT260-0004206	2.65052429	0.00011347	14.86	13.51
HAT260-0007971	1.20718693	0.00007421	16.69	15.22
HAT260-0003233	8.17841955	0.00532331	13.55	12.53
HAT260-0001834	4.14522634	0.00001685	12.48	11.63
HAT260-0003289	4.56183201	0.00009309	13.85	12.70	SB2,Q98
HAT260-0090401	2.09412819	0.00005377	15.42	14.02
HAT260-0000499	0.84368454	0.00000348	10.41	9.85
HAT260-0008800	4.94716387	0.00045453	15.93	14.54
HAT260-0015295	0.13566533	0.00000054	18.68	16.91
HAT260-0009365	0.60359346	0.00002396	17.21	15.74
HAT260-0003895	8.40559787	0.00003712	13.94	12.86
HAT260-0003041	7.59669096	0.00000090	13.46	12.43
HAT260-0005745	8.36686239	0.00000000	14.77	13.51
HAT260-0007625	0.58229927	0.00000304	15.55	14.22
HAT260-0005788	0.30656128	0.00000015	15.31	13.97
HAT260-0000957	3.25377982	0.00031529	11.17	10.51
HAT260-0002271	0.44554825	0.00000479	13.58	12.49
HAT260-0006705	0.78090716	0.00000544	15.26	13.98
HAT260-0005061	0.48300323	0.00000169	14.85	13.58
HAT260-0007822	0.34596211	0.00000119	16.82	15.25
HAT260-0001402	5.05740707	0.00005682	11.92	11.15
HAT260-0014866	1.41292540	0.00004849	17.72	16.13
HAT214-0001973	6.46124249	0.00075740	12.61	11.72
HAT260-0004833	0.73655440	0.00000215	14.71	13.51	SB2,S87
HAT260-0015235	1.56114285	0.00008232	17.85	16.16
HAT260-0007196	1.15276771	0.00024071	15.47	14.10
HAT260-0000887	3.84662953	0.00000217	11.02	10.40
HAT260-0007653	5.60373191	0.00066994	15.69	14.29
HAT260-0001202	4.49408203	0.00000000	11.66	10.94
HAT260-0007528	2.47021652	0.00008701	16.34	14.84
HAT260-0003133	0.23533495	0.00000021	13.69	12.66
HAT260-0000809	2.89109736	0.00610543	10.95	10.34
HAT260-0007706	4.15471199	0.00029015	16.01	14.57
HAT260-0005322	3.87950671	0.00063115	14.77	13.55
HAT260-0001044	5.07153391	0.00000907	11.78	10.93	SB2,S93
HAT260-0003475	0.55085229	0.00000244	13.61	12.65
HAT260-0001740	3.04122134	0.00039876	12.41	11.54
HAT260-0007081	12.02390158	0.00652641	15.26	13.91
HAT260-0011634	8.40559787	0.00003018	16.94	15.39
HAT260-0001951	3.05658104	0.00018848	12.56	11.71
HAT260-0008869	0.58549150	0.00003021	16.76	15.31
HAT260-0000967	0.77623306	0.00000823	11.69	10.87	SB2,Q98
HAT260-0004655	5.60373191	0.00002334	15.11	13.80
HAT260-0007200	1.41733735	0.00003004	15.60	14.23
HAT260-0000810	4.66737568	0.00060456	11.06	10.44
HAT260-0007565	5.32436698	0.01097570	15.85	14.48
HAT260-0006706	0.39842202	0.00000089	15.78	14.42
HAT260-0006697	6.67503360	0.00001094	15.32	13.97
HAT260-0003439	0.56071931	0.00000323	13.61	12.60
HAT260-0001556	5.81926006	0.00023115	12.13	11.35
HAT260-0001664	2.93313270	0.00043902	12.17	11.35
HAT260-0017322	1.59263960	0.00008469	18.10	16.58
HAT260-0001146	4.88066973	0.00329049	11.65	10.93
HAT260-0001783	6.21783952	0.00001308	12.31	11.49
HAT260-0001327	5.02938820	0.00062143	11.86	11.10
HAT260-0002523	7.29160297	0.00008029	13.14	12.19	SB2,Q98
HAT260-0001840	6.92980587	0.00002440	12.33	11.49
HAT260-0000778	2.12103871	0.00021850	10.87	10.27
HAT260-0003756	2.35182531	0.00006739	14.60	13.29
HAT260-0006711	6.43833028	0.00152222	15.37	14.03
HAT260-0004647	5.97239848	0.00143646	14.47	13.29
HAT260-0001380	5.07153391	0.00000001	11.86	11.09
HAT260-0001590	5.38756421	0.00002392	12.19	11.36
HAT214-0001469	6.23920666	0.00143678	12.14	11.33
HAT260-0003419	5.15798051	0.00002318	13.66	12.65
HAT260-0002563	0.31401057	0.00000068	13.14	12.18
HAT260-0000795	2.16659802	0.00016103	10.90	10.29
HAT260-0003215	7.89395278	0.00002436	13.52	12.51
HAT260-0001576	5.15798051	0.00003040	12.54	11.57	SB2,Q98
HAT260-0001944	6.28238456	0.00092307	12.61	11.75
HAT260-0006338	0.26218183	0.00000029	15.18	13.92
HAT260-0009452	4.56183201	0.00069877	16.36	14.86
HAT260-0003312	7.96319798	0.00002367	13.41	12.41
HAT260-0017567	1.67491618	0.00013252	18.35	16.68
HAT260-0004762	5.46870223	0.00043293	14.74	13.53
HAT260-0005596	0.88393824	0.00001854	14.73	13.53
HAT260-0004580	3.93841462	0.00033879	14.74	13.47
HAT260-0002721	4.21255021	0.00032606	13.02	12.09
HAT260-0001106	3.47817843	0.00000650	11.68	10.94
HAT260-0001595	5.10002567	0.00197450	12.42	11.57
HAT260-0003635	0.41747738	0.00000086	13.78	12.77
HAT260-0000692	4.85456989	0.00093012	10.62	10.05
HAT260-0004927	7.62860983	0.00001826	14.34	13.16
HAT260-0000911	2.45352586	0.00010532	11.18	10.52
HAT260-0001860	0.43156861	0.00000190	13.17	12.10
HAT260-0012518	0.36458015	0.00000188	16.93	15.44
HAT260-0006620	5.95281685	0.00421090	15.42	14.02
HAT260-0002009	1.76444037	0.00003262	12.50	11.65
HAT260-0001011	9.45629760	0.00000020	11.53	10.72
HAT260-0001749	4.13578392	0.00570096	12.30	11.49
HAT214-0002039	0.39564374	0.00000163	12.81	11.90
